customerID,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Probability,Churn_Probability_percent,Risk_Level,Retention_Action
8865-TNMNX,Male,0,Yes,Yes,10,DSL,No,No,One year,No,Mailed check,49.55,475.7,0,0.11556860142334349,11.556860142334349,Low Risk,Regular engagement
9489-DEDVP,Female,0,Yes,Yes,70,DSL,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0,0.012127226946659603,1.2127226946659602,Low Risk,Regular engagement
9867-JCZSP,Female,0,Yes,Yes,17,No,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,0,0.04321916792173852,4.321916792173852,Low Risk,Regular engagement
4671-VJLCL,Female,0,No,No,63,DSL,Yes,Yes,Two year,Yes,Credit card (automatic),79.85,4861.45,0,0.013652229198382316,1.3652229198382315,Low Risk,Regular engagement
4080-IIARD,Female,0,Yes,No,13,DSL,Yes,Yes,Month-to-month,Yes,Electronic check,76.2,981.45,0,0.30357228250632057,30.35722825063206,Low Risk,Regular engagement
3714-NTNFO,Female,0,No,No,49,Fiber optic,No,No,Month-to-month,Yes,Electronic check,84.5,3906.7,0,0.45626552466342635,45.62655246634264,Medium Risk,Protective Engagement
5948-UJZLF,Male,0,No,No,2,DSL,No,No,Month-to-month,No,Mailed check,49.25,97.0,0,0.30983975191236435,30.983975191236436,Low Risk,Regular engagement
7760-OYPDY,Female,0,No,No,2,Fiber optic,No,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,0.7352884736320975,73.52884736320975,High Risk,Immediate retention intervention
7639-LIAYI,Male,0,No,No,52,DSL,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,0,0.03211898393830098,3.211898393830098,Low Risk,Regular engagement
2954-PIBKO,Female,0,Yes,Yes,69,DSL,Yes,Yes,Two year,Yes,Credit card (automatic),64.15,4254.1,0,0.007057412018168494,0.7057412018168494,Low Risk,Regular engagement
8012-SOUDQ,Female,1,No,No,43,Fiber optic,No,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0,0.5135787996572572,51.357879965725715,Medium Risk,Protective Engagement
9420-LOJKX,Female,0,No,No,15,Fiber optic,Yes,No,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,0.4768022681193755,47.68022681193755,Medium Risk,Protective Engagement
6575-SUVOI,Female,1,Yes,No,25,DSL,Yes,Yes,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,0.21379260306321812,21.37926030632181,Low Risk,Regular engagement
7495-OOKFY,Female,1,Yes,No,8,Fiber optic,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,0.6141855746125393,61.41855746125393,Medium Risk,Protective Engagement
4667-QONEA,Female,1,Yes,Yes,60,DSL,Yes,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,0,0.019879799618877224,1.9879799618877223,Low Risk,Regular engagement
1658-BYGOY,Male,1,No,No,18,Fiber optic,No,No,Month-to-month,Yes,Electronic check,95.45,1752.55,1,0.7786165378499726,77.86165378499726,High Risk,Immediate retention intervention
8769-KKTPH,Female,0,Yes,Yes,63,Fiber optic,Yes,No,One year,Yes,Credit card (automatic),99.65,6311.2,0,0.13370125627079557,13.370125627079558,Low Risk,Regular engagement
5067-XJQFU,Male,1,Yes,Yes,66,Fiber optic,No,Yes,One year,Yes,Electronic check,108.45,7076.35,0,0.19839850012818916,19.839850012818914,Low Risk,Regular engagement
3957-SQXML,Female,0,Yes,Yes,34,No,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,0,0.013209250114003118,1.3209250114003117,Low Risk,Regular engagement
5954-BDFSG,Female,0,No,No,72,Fiber optic,No,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0,0.07490725076796358,7.490725076796358,Low Risk,Regular engagement
0434-CSFON,Female,0,Yes,No,47,Fiber optic,No,No,Month-to-month,Yes,Electronic check,100.5,4707.1,0,0.5690519229108193,56.90519229108193,Medium Risk,Protective Engagement
1215-FIGMP,Male,0,No,No,60,Fiber optic,No,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,0.28255634126952756,28.255634126952756,Low Risk,Regular engagement
0526-SXDJP,Male,0,Yes,No,72,DSL,Yes,No,Two year,No,Bank transfer (automatic),42.1,2962.0,0,0.00610200250038111,0.6102002500381111,Low Risk,Regular engagement
0557-ASKVU,Female,0,Yes,Yes,18,DSL,No,Yes,One year,Yes,Credit card (automatic),54.4,957.1,0,0.08932830117051066,8.932830117051067,Low Risk,Regular engagement
5698-BQJOH,Female,0,No,No,9,Fiber optic,No,No,Month-to-month,No,Electronic check,94.4,857.25,1,0.7319609095830218,73.19609095830218,High Risk,Immediate retention intervention
5122-CYFXA,Female,0,No,No,3,DSL,No,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0,0.4687706255269489,46.877062552694895,Medium Risk,Protective Engagement
8627-ZYGSZ,Male,0,Yes,No,47,Fiber optic,No,No,One year,Yes,Electronic check,78.9,3650.35,0,0.236286864220188,23.6286864220188,Low Risk,Regular engagement
3410-YOQBQ,Female,0,No,No,31,DSL,No,Yes,Two year,No,Mailed check,79.2,2497.2,0,0.043846951779326925,4.384695177932692,Low Risk,Regular engagement
3170-NMYVV,Female,0,Yes,Yes,50,No,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0,0.004633845670602977,0.4633845670602977,Low Risk,Regular engagement
7410-OIEDU,Male,0,No,No,10,Fiber optic,Yes,No,Month-to-month,Yes,Mailed check,79.85,887.35,0,0.45958244351318034,45.95824435131804,Medium Risk,Protective Engagement
2273-QCKXA,Male,0,No,No,1,DSL,No,Yes,Month-to-month,No,Mailed check,49.05,49.05,0,0.27869460417917563,27.869460417917562,Low Risk,Regular engagement
0731-EBJQB,Female,0,Yes,Yes,52,No,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,0,0.017643037052426418,1.7643037052426418,Low Risk,Regular engagement
1891-QRQSA,Male,1,Yes,Yes,64,Fiber optic,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,0.06377651720314553,6.377651720314553,Low Risk,Regular engagement
8028-PNXHQ,Male,0,Yes,Yes,62,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,0.0057222943325712676,0.5722294332571267,Low Risk,Regular engagement
5630-AHZIL,Female,0,No,Yes,3,DSL,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,0.2323153503534457,23.23153503534457,Low Risk,Regular engagement
2673-CXQEU,Female,1,No,No,56,Fiber optic,Yes,No,One year,No,Electronic check,110.5,6139.5,0,0.1967422431588766,19.67422431588766,Low Risk,Regular engagement
6416-JNVRK,Female,0,No,No,46,DSL,No,No,One year,No,Credit card (automatic),55.65,2688.85,0,0.05177214905442505,5.177214905442505,Low Risk,Regular engagement
5590-ZSKRV,Female,0,Yes,Yes,8,DSL,Yes,No,Month-to-month,No,Mailed check,54.65,482.25,0,0.15702897982507238,15.702897982507238,Low Risk,Regular engagement
0191-ZHSKZ,Male,1,No,No,30,DSL,Yes,No,Month-to-month,Yes,Electronic check,74.75,2111.3,0,0.2824933932746479,28.24933932746479,Low Risk,Regular engagement
3887-PBQAO,Female,0,Yes,Yes,45,No,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,0,0.022212289918896986,2.221228991889699,Low Risk,Regular engagement
5919-TMRGD,Female,0,No,Yes,1,Fiber optic,No,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,0.7048769754612642,70.48769754612641,High Risk,Immediate retention intervention
8108-UXRQN,Female,0,Yes,Yes,11,DSL,Yes,No,Month-to-month,No,Electronic check,50.55,565.35,0,0.4141828156416522,41.41828156416522,Medium Risk,Protective Engagement
9191-MYQKX,Female,0,Yes,No,7,Fiber optic,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,0.5596903063045812,55.969030630458114,Medium Risk,Protective Engagement
9919-YLNNG,Female,0,No,No,42,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,0.3218041577131848,32.18041577131848,Low Risk,Regular engagement
0318-ZOPWS,Female,0,Yes,No,49,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,0.008896777597901924,0.8896777597901924,Low Risk,Regular engagement
4445-ZJNMU,Male,0,No,No,9,Fiber optic,No,No,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,0.6944273394196906,69.44273394196905,Medium Risk,Protective Engagement
4808-YNLEU,Female,0,Yes,No,35,DSL,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,0.07528241532539051,7.5282415325390515,Low Risk,Regular engagement
1862-QRWPE,Female,0,Yes,Yes,48,No,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,0,0.005189747616678007,0.5189747616678007,Low Risk,Regular engagement
2796-NNUFI,Female,0,Yes,Yes,46,No,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,0,0.00887162342621622,0.8871623426216221,Low Risk,Regular engagement
3016-KSVCP,Male,0,Yes,No,29,DSL,No,No,Month-to-month,No,Mailed check,33.75,1009.25,0,0.27849934082809114,27.849934082809114,Low Risk,Regular engagement
4767-HZZHQ,Male,0,Yes,Yes,30,Fiber optic,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,0.22092768855441053,22.092768855441054,Low Risk,Regular engagement
2424-WVHPL,Male,1,No,No,1,Fiber optic,No,Yes,Month-to-month,No,Electronic check,74.7,74.7,0,0.5708249608492535,57.08249608492535,Medium Risk,Protective Engagement
7233-PAHHL,Male,0,Yes,Yes,66,DSL,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,0,0.020095935842107192,2.009593584210719,Low Risk,Regular engagement
6067-NGCEU,Female,0,No,No,65,Fiber optic,Yes,No,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0,0.24165906223715303,24.165906223715304,Low Risk,Regular engagement
9848-JQJTX,Male,0,No,No,72,Fiber optic,No,No,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,0.10418485810998027,10.418485810998027,Low Risk,Regular engagement
8637-XJIVR,Female,0,No,No,12,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,0.594868923477083,59.4868923477083,Medium Risk,Protective Engagement
9803-FTJCG,Male,0,Yes,Yes,71,DSL,Yes,Yes,One year,Yes,Credit card (automatic),66.85,4748.7,0,0.011384330583842485,1.1384330583842484,Low Risk,Regular engagement
0278-YXOOG,Male,0,No,No,5,No,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,1,0.1623143960330861,16.23143960330861,Low Risk,Regular engagement
3212-KXOCR,Male,0,No,No,52,No,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,0,0.005326508245233797,0.5326508245233796,Low Risk,Regular engagement
4598-XLKNJ,Female,1,Yes,No,25,Fiber optic,No,No,Month-to-month,Yes,Electronic check,98.5,2514.5,1,0.6530824200935395,65.30824200935395,Medium Risk,Protective Engagement
6380-ARCEH,Male,0,No,No,1,No,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,0,0.1923282680896271,19.23282680896271,Low Risk,Regular engagement
3679-XASPY,Female,0,Yes,Yes,1,No,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,0,0.2087607998896324,20.87607998896324,Low Risk,Regular engagement
7123-WQUHX,Male,0,No,No,38,Fiber optic,No,Yes,One year,No,Bank transfer (automatic),95.0,3605.6,0,0.17448053028568294,17.448053028568296,Low Risk,Regular engagement
5386-THSLQ,Female,1,Yes,No,66,DSL,No,No,One year,No,Bank transfer (automatic),45.55,3027.25,0,0.03586418718810968,3.5864187188109677,Low Risk,Regular engagement
3192-NQECA,Male,0,Yes,No,68,Fiber optic,No,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,0.08372715193757986,8.372715193757987,Low Risk,Regular engagement
6180-YBIQI,Male,0,No,No,5,DSL,No,No,Month-to-month,No,Mailed check,24.3,100.2,0,0.447793602485758,44.7793602485758,Medium Risk,Protective Engagement
6728-DKUCO,Female,0,Yes,Yes,72,Fiber optic,Yes,No,One year,Yes,Electronic check,104.15,7303.05,0,0.1364434563278526,13.64434563278526,Low Risk,Regular engagement
9750-BOOHV,Female,0,No,No,32,DSL,Yes,No,One year,No,Mailed check,30.15,927.65,0,0.071842929367589,7.1842929367589,Low Risk,Regular engagement
8597-CWYHH,Male,0,No,No,43,Fiber optic,No,No,One year,No,Mailed check,94.35,3921.3,0,0.26865915460754297,26.865915460754298,Low Risk,Regular engagement
2848-YXSMW,Male,0,Yes,Yes,72,No,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,0,0.00171584041066514,0.171584041066514,Low Risk,Regular engagement
0486-HECZI,Male,0,Yes,No,55,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1,0.3090254639787225,30.90254639787225,Low Risk,Regular engagement
4549-ZDQYY,Female,0,No,No,52,DSL,Yes,Yes,One year,No,Credit card (automatic),57.95,3042.25,0,0.01615018554993628,1.6150185549936282,Low Risk,Regular engagement
5712-AHQNN,Female,0,No,No,43,Fiber optic,No,No,Month-to-month,Yes,Electronic check,91.65,3954.1,0,0.393690798451652,39.3690798451652,Low Risk,Regular engagement
4846-WHAFZ,Female,1,Yes,No,37,Fiber optic,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,1,0.5191727762693675,51.91727762693675,Medium Risk,Protective Engagement
5256-SKJGO,Female,0,Yes,Yes,64,DSL,No,Yes,Two year,Yes,Electronic check,54.6,3423.5,0,0.030243492111508063,3.024349211150806,Low Risk,Regular engagement
3071-VBYPO,Male,0,Yes,Yes,3,Fiber optic,Yes,No,Month-to-month,No,Electronic check,89.85,248.4,0,0.46583432626020943,46.583432626020944,Medium Risk,Protective Engagement
9560-BBZXK,Female,0,No,No,36,DSL,Yes,No,Two year,No,Bank transfer (automatic),31.05,1126.35,0,0.029652137463835902,2.9652137463835904,Low Risk,Regular engagement
5299-RULOA,Female,0,Yes,Yes,10,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,100.25,1064.65,1,0.6715555243443936,67.15555243443936,Medium Risk,Protective Engagement
8402-OOOHJ,Female,0,No,No,41,No,No internet service,No internet service,Two year,No,Mailed check,20.65,835.15,0,0.009266199718350864,0.9266199718350864,Low Risk,Regular engagement
9445-ZUEQE,Male,0,Yes,Yes,27,Fiber optic,No,Yes,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,0,0.29809577940533016,29.809577940533018,Low Risk,Regular engagement
1091-SOZGA,Female,0,Yes,Yes,56,Fiber optic,No,No,One year,Yes,Credit card (automatic),99.8,5515.45,0,0.2114748142383297,21.14748142383297,Low Risk,Regular engagement
2928-HLDBA,Female,0,No,No,6,No,No internet service,No internet service,Month-to-month,No,Mailed check,20.7,112.75,0,0.15404884635721833,15.404884635721833,Low Risk,Regular engagement
0404-SWRVG,Male,0,No,No,3,Fiber optic,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,1,0.7528048293034093,75.28048293034092,High Risk,Immediate retention intervention
6497-TILVL,Female,0,Yes,Yes,7,DSL,Yes,No,Month-to-month,No,Mailed check,50.7,350.35,0,0.18032644326506722,18.032644326506723,Low Risk,Regular engagement
7219-TLZHO,Female,0,Yes,Yes,4,No,No internet service,No internet service,Month-to-month,No,Mailed check,20.85,62.9,0,0.13907349024474966,13.907349024474966,Low Risk,Regular engagement
4622-YNKIJ,Male,0,No,No,33,Fiber optic,Yes,Yes,Two year,Yes,Electronic check,88.95,3027.65,0,0.12081442222424232,12.081442222424233,Low Risk,Regular engagement
4412-YLTKF,Female,1,No,No,27,Fiber optic,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,1,0.6123496839287066,61.234968392870655,Medium Risk,Protective Engagement
6734-PSBAW,Male,0,Yes,No,72,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.55,1723.95,0,0.004746157871499826,0.47461578714998265,Low Risk,Regular engagement
3930-ZGWVE,Male,0,No,No,1,No,No internet service,No internet service,Month-to-month,No,Mailed check,19.75,19.75,0,0.19445577520558213,19.445577520558214,Low Risk,Regular engagement
2639-UGMAZ,Male,1,No,No,71,DSL,Yes,No,One year,Yes,Electronic check,56.45,3985.35,0,0.059369191683453795,5.93691916834538,Low Risk,Regular engagement
2876-GZYZC,Female,0,No,No,13,Fiber optic,No,No,Month-to-month,Yes,Electronic check,85.95,1215.65,0,0.72811635779454,72.811635779454,High Risk,Immediate retention intervention
6207-WIOLX,Female,0,Yes,Yes,25,DSL,Yes,No,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,1,0.26032742540988457,26.03274254098846,Low Risk,Regular engagement
8587-XYZSF,Male,0,No,No,67,DSL,No,Yes,Two year,No,Bank transfer (automatic),50.55,3260.1,0,0.00641439989696476,0.641439989696476,Low Risk,Regular engagement
3091-FYHKI,Male,0,No,No,1,DSL,No,No,Month-to-month,Yes,Electronic check,35.45,35.45,1,0.6986218490613388,69.86218490613389,Medium Risk,Protective Engagement
2372-HWUHI,Male,0,No,No,2,DSL,No,No,Month-to-month,No,Electronic check,44.35,81.25,1,0.41995260584584915,41.99526058458491,Medium Risk,Protective Engagement
7799-LGRDP,Female,0,No,No,43,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.7,1188.2,0,0.015547508306032201,1.55475083060322,Low Risk,Regular engagement
7850-VWJUU,Female,0,No,No,23,Fiber optic,Yes,No,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,0,0.3367597885360591,33.67597885360591,Low Risk,Regular engagement
3774-VBNXY,Female,0,Yes,Yes,64,No,No internet service,No internet service,Two year,No,Mailed check,20.2,1277.75,0,0.0026759168847175726,0.26759168847175724,Low Risk,Regular engagement
6217-KDYWC,Male,0,No,Yes,57,No,No internet service,No internet service,Two year,Yes,Mailed check,19.6,1170.55,0,0.005466759330149356,0.5466759330149356,Low Risk,Regular engagement
0390-DCFDQ,Female,1,Yes,No,1,Fiber optic,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,1,0.6677662722769022,66.77662722769023,Medium Risk,Protective Engagement
3146-MSEGF,Female,1,Yes,Yes,72,DSL,Yes,Yes,Two year,Yes,Credit card (automatic),88.05,6425.65,0,0.015300515297021084,1.5300515297021084,Low Risk,Regular engagement
4080-OGPJL,Female,0,No,No,8,DSL,Yes,Yes,Month-to-month,No,Electronic check,71.15,563.65,1,0.29197292442493267,29.197292442493268,Low Risk,Regular engagement
1095-WGNGG,Female,0,Yes,No,61,Fiber optic,No,No,Two year,Yes,Bank transfer (automatic),101.05,5971.25,0,0.11403238201275845,11.403238201275844,Low Risk,Regular engagement
2636-SJDOU,Male,0,No,No,64,Fiber optic,Yes,No,One year,Yes,Credit card (automatic),84.3,5289.05,0,0.07352656117265577,7.352656117265576,Low Risk,Regular engagement
1131-QQZEB,Male,1,Yes,No,71,No,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.95,1756.2,0,0.003962278604287997,0.3962278604287997,Low Risk,Regular engagement
5716-EZXZN,Female,0,Yes,Yes,65,Fiber optic,Yes,Yes,Two year,Yes,Credit card (automatic),99.05,6416.7,0,0.033281143057874676,3.3281143057874676,Low Risk,Regular engagement
6837-BJYDQ,Male,0,No,No,3,No,No internet service,No internet service,One year,No,Mailed check,19.6,61.35,0,0.09874919060067205,9.874919060067205,Low Risk,Regular engagement
2135-RXIHG,Male,0,No,No,1,DSL,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,1,0.5124781043749799,51.24781043749799,Medium Risk,Protective Engagement
6440-DKQGE,Male,0,No,Yes,30,DSL,No,No,One year,No,Credit card (automatic),64.5,1929.95,0,0.0652824327372072,6.52824327372072,Low Risk,Regular engagement
3466-BYAVD,Male,0,Yes,Yes,15,DSL,No,Yes,Month-to-month,Yes,Mailed check,69.5,1071.4,0,0.2192188647569478,21.92188647569478,Low Risk,Regular engagement
3780-YVMFA,Female,0,Yes,Yes,8,DSL,No,Yes,Month-to-month,Yes,Electronic check,68.55,564.35,0,0.4309827177740835,43.09827177740835,Medium Risk,Protective Engagement
